,Año,CANTIDAD,NO,NO2,CO,PM10,PM2.5,O3
0,2011,112,418.0,335.3,9027.4,524.0,427.7,213.9
1,2012,160,446.6,240.7,7606.6,1103.0,342.0,221.7
2,2013,306,593.6,670.2,14356.8,1103.0,442.0,241.8
3,2014,475,541.7,394.8,8891.1,548.0,617.0,315.2
4,2015,585,507.1,258.5,16409.6,570.4,311.0,263.4
5,2016,508,316.9,410.2,18260.8,1097.8,238.0,976.5
6,2017,313,2251.2,677.0,421550.0,10808.0,3608.5,558.9
7,2018,992,1187.9,263.3,9159.0,5582.5,308.9,140.4
8,2019,3183,282.1,201.0,9220.0,6156.0,312.3,180.5
9,2020,6093,504.4,319.7,9121.8,2907.4,714.8,159.9
10,2021,17896,559.5,219.5,13738.8,1584.3,99999.0,371.5
11,2022,25878,385.4,640.1,13008.9,559.7,281.8,169.0
